Public Food Key,Food Name
F000247,"Baking powder, dry powder"
F000247,"Baking powder, dry powder"
F000247,"Baking powder, dry powder"
F000247,"Baking powder, dry powder"
F009571,"Wine, red"
F009571,"Wine, red"
F009571,"Wine, red"
F009571,"Wine, red"
F009581,"Wine, white"
F009581,"Wine, white"
F009581,"Wine, white"
F009581,"Wine, white"
F001068,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk"
F001068,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk"
F001064,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk"
F001064,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk"
F003017,"Coffee, black, from instant coffee powder"
F003017,"Coffee, black, from instant coffee powder"
F003018,"Coffee, black, from instant coffee powder, decaffeinated"
F003018,"Coffee, black, from instant coffee powder, decaffeinated"
F003036,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk"
F003036,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk"
F003036,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk"
F003048,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk"
F003048,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk"
F003065,"Coffee, long black, from ground coffee beans"
F003065,"Coffee, long black, from ground coffee beans"
F003158,"Cordial, 25% citrus fruit juice, regular, recommended dilution"
F003158,"Cordial, 25% citrus fruit juice, regular, recommended dilution"
F003160,"Cordial, 40% citrus fruit juice, regular, recommended dilution"
F003160,"Cordial, 40% citrus fruit juice, regular, recommended dilution"
F003156,"Cordial, 25% blackcurrant juice, regular, recommended dilution"
F003156,"Cordial, 25% blackcurrant juice, regular, recommended dilution"
F004726,"Juice, lemon"
F004729,"Juice, lime"
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients"
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients"
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients"
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients"
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients"
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients"
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients"
F001683,"Breadcrumbs, white"
F001683,"Breadcrumbs, white"
F001541,"Bread, from white flour, toasted"
F001467,"Bread, from white flour, added calcium, toasted"
F001479,"Bread, from white flour, added fibre, toasted"
F001483,"Bread, from white flour, added iron, toasted"
F001485,"Bread, from white flour, added omega-3 polyunsaturates, toasted"
F001544,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted"
F001529,"Bread, from white flour, Italian-style, commercial, toasted"
F001358,"Bread roll, from white flour, toasted"
F001372,"Bread roll, topped with cheese"
F001372,"Bread roll, topped with cheese"
F001373,"Bread roll, topped with cheese & bacon"
F001373,"Bread roll, topped with cheese & bacon"
F001373,"Bread roll, topped with cheese & bacon"
F001597,"Bread, from wholemeal flour, toasted"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001573,"Bread, from wholemeal flour, extra grainy & seeds"
F001576,"Bread, from wholemeal flour, extra grainy & seeds, toasted"
F001364,"Bread roll, from wholemeal flour, toasted"
F001548,"Bread, from white or wholemeal flour, organic, toasted"
F001644,"Bread, mixed grain, toasted"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001513,"Bread, from white flour, extra grainy & seeds"
F001514,"Bread, from white flour, extra grainy & seeds, toasted"
F001368,"Bread roll, mixed grain, toasted"
F001672,"Bread, from white flour, Turkish, toasted"
F001458,"Bread, from wheat flour, added dried fruit, toasted"
F001600,"Bread, garlic or herb, commercial, cooked"
F001600,"Bread, garlic or herb, commercial, cooked"
F001600,"Bread, garlic or herb, commercial, cooked"
F001600,"Bread, garlic or herb, commercial, cooked"
F001600,"Bread, garlic or herb, commercial, cooked"
F001601,"Bread, garlic or herb, homemade, cooked"
F001601,"Bread, garlic or herb, homemade, cooked"
F001601,"Bread, garlic or herb, homemade, cooked"
F001609,"Bread, gluten free, toasted"
F001451,"Bread, from rye flour, sour dough, toasted"
F001939,"Bun, sweet, with dried fruit, iced"
F001939,"Bun, sweet, with dried fruit, iced"
F001939,"Bun, sweet, with dried fruit, iced"
F001939,"Bun, sweet, with dried fruit, iced"
F001939,"Bun, sweet, with dried fruit, iced"
F001939,"Bun, sweet, with dried fruit, iced"
F001939,"Bun, sweet, with dried fruit, iced"
F001939,"Bun, sweet, with dried fruit, iced"
F005898,"Muffin, English style, from white flour, toasted"
F005897,"Muffin, English style, from white flour, added dried fruit, toasted"
F005897,"Muffin, English style, from white flour, added dried fruit, toasted"
F005897,"Muffin, English style, from white flour, added dried fruit, toasted"
F008272,"Slice, brownie, chocolate, with nuts, homemade"
F008272,"Slice, brownie, chocolate, with nuts, homemade"
F008272,"Slice, brownie, chocolate, with nuts, homemade"
F008272,"Slice, brownie, chocolate, with nuts, homemade"
F008272,"Slice, brownie, chocolate, with nuts, homemade"
F008272,"Slice, brownie, chocolate, with nuts, homemade"
F008272,"Slice, brownie, chocolate, with nuts, homemade"
F008272,"Slice, brownie, chocolate, with nuts, homemade"
F008272,"Slice, brownie, chocolate, with nuts, homemade"
F002102,"Cake, carrot, homemade, uniced"
F002102,"Cake, carrot, homemade, uniced"
F002102,"Cake, carrot, homemade, uniced"
F002102,"Cake, carrot, homemade, uniced"
F002102,"Cake, carrot, homemade, uniced"
F002102,"Cake, carrot, homemade, uniced"
F002102,"Cake, carrot, homemade, uniced"
F002102,"Cake, carrot, homemade, uniced"
F002102,"Cake, carrot, homemade, uniced"
F002102,"Cake, carrot, homemade, uniced"
F002101,"Cake, carrot, homemade, iced"
F002101,"Cake, carrot, homemade, iced"
F002101,"Cake, carrot, homemade, iced"
F002101,"Cake, carrot, homemade, iced"
F002101,"Cake, carrot, homemade, iced"
F002112,"Cake, chocolate, homemade, uniced"
F002112,"Cake, chocolate, homemade, uniced"
F002112,"Cake, chocolate, homemade, uniced"
F002112,"Cake, chocolate, homemade, uniced"
F002112,"Cake, chocolate, homemade, uniced"
F002112,"Cake, chocolate, homemade, uniced"
F002111,"Cake, chocolate, homemade, iced"
F002111,"Cake, chocolate, homemade, iced"
F002111,"Cake, chocolate, homemade, iced"
F002111,"Cake, chocolate, homemade, iced"
F002111,"Cake, chocolate, homemade, iced"
F002150,"Cake, fruit, homemade, uniced"
F002150,"Cake, fruit, homemade, uniced"
F002150,"Cake, fruit, homemade, uniced"
F002150,"Cake, fruit, homemade, uniced"
F002150,"Cake, fruit, homemade, uniced"
F002150,"Cake, fruit, homemade, uniced"
F002150,"Cake, fruit, homemade, uniced"
F002150,"Cake, fruit, homemade, uniced"
F002150,"Cake, fruit, homemade, uniced"
F002150,"Cake, fruit, homemade, uniced"
F002165,"Cake, mud, dark chocolate, homemade, uniced"
F002165,"Cake, mud, dark chocolate, homemade, uniced"
F002165,"Cake, mud, dark chocolate, homemade, uniced"
F002165,"Cake, mud, dark chocolate, homemade, uniced"
F002165,"Cake, mud, dark chocolate, homemade, uniced"
F002165,"Cake, mud, dark chocolate, homemade, uniced"
F002165,"Cake, mud, dark chocolate, homemade, uniced"
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing"
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing"
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002170,"Cake, plain butter cake, homemade, iced"
F002170,"Cake, plain butter cake, homemade, iced"
F002170,"Cake, plain butter cake, homemade, iced"
F002170,"Cake, plain butter cake, homemade, iced"
F002170,"Cake, plain butter cake, homemade, iced"
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream"
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream"
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream"
F003575,"Doughnut, jam filled, sugar coated"
F003575,"Doughnut, jam filled, sugar coated"
F006298,"Pancake, plain, homemade"
F006298,"Pancake, plain, homemade"
F006298,"Pancake, plain, homemade"
F006298,"Pancake, plain, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008172,"Scone, fruit, commercial"
F008172,"Scone, fruit, commercial"
F008172,"Scone, fruit, commercial"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F001918,"Buckwheat groats, cooked in water, no added salt"
F001918,"Buckwheat groats, cooked in water, no added salt"
F007156,"Porridge, rolled oats, prepared with regular fat cows milk"
F007156,"Porridge, rolled oats, prepared with regular fat cows milk"
F000378,"Barley, pearl, boiled, no added fat or salt"
F000378,"Barley, pearl, boiled, no added fat or salt"
F003227,"Cornmeal (polenta), boiled, no added fat or salt"
F003227,"Cornmeal (polenta), boiled, no added fat or salt"
F003235,"Couscous, boiled, no added fat or salt"
F003235,"Couscous, boiled, no added fat or salt"
F005690,"Millet, boiled, no added fat or salt"
F005690,"Millet, boiled, no added fat or salt"
F007164,"Porridge, rolled oats, prepared with water"
F007164,"Porridge, rolled oats, prepared with water"
F007598,"Quinoa, uncooked"
